iter	Passed	Remaining
0	84	84327
1	85	42656
2	86	28737
3	87	21737
4	89	17766
5	90	14929
6	90	12878
7	92	11410
8	93	10257
9	93	9299
10	94	8509
11	95	7860
12	96	7320
13	97	6876
14	98	6482
15	99	6117
16	100	5791
17	100	5500
18	101	5242
19	102	5010
20	102	4801
21	103	4618
22	104	4448
23	105	4286
24	106	4136
25	106	3997
26	107	3875
27	108	3754
28	108	3647
29	109	3550
30	112	3511
31	113	3425
32	113	3340
33	114	3265
34	115	3195
35	116	3126
36	117	3058
37	118	2993
38	118	2931
39	119	2870
40	120	2813
41	121	2764
42	121	2715
43	122	2666
44	123	2619
45	124	2573
46	124	2530
47	125	2489
48	126	2458
49	127	2422
50	128	2396
51	129	2361
52	130	2327
53	131	2297
54	132	2282
55	134	2268
56	135	2241
57	136	2211
58	136	2182
59	137	2154
60	138	2129
61	139	2105
62	140	2082
63	140	2060
64	141	2038
65	142	2015
66	143	1992
67	143	1971
68	144	1951
69	145	1932
70	147	1931
71	148	1913
72	149	1895
73	149	1876
74	150	1859
75	151	1843
76	152	1826
77	153	1812
78	154	1795
79	154	1778
80	155	1762
81	156	1746
82	156	1727
83	157	1715
84	158	1703
85	159	1690
86	159	1678
87	160	1664
88	161	1653
89	162	1642
90	163	1631
91	164	1619
92	164	1609
93	165	1596
94	166	1584
95	166	1572
96	167	1559
97	168	1548
98	168	1537
99	170	1532
100	170	1521
101	171	1512
102	172	1501
103	173	1491
104	173	1481
105	174	1472
106	175	1463
107	176	1456
108	177	1447
109	178	1440
110	178	1432
111	179	1423
112	180	1414
113	180	1406
114	181	1399
115	182	1392
116	183	1383
117	184	1375
118	184	1368
119	185	1360
120	186	1353
121	186	1344
122	187	1338
123	188	1331
124	189	1324
125	190	1321
126	191	1314
127	191	1307
128	192	1301
129	194	1299
130	195	1294
131	196	1294
132	197	1288
133	198	1281
134	199	1276
135	200	1273
136	202	1273
137	202	1267
138	203	1261
139	204	1255
140	206	1259
141	207	1252
142	208	1247
143	209	1242
144	210	1238
145	210	1232
146	211	1227
147	212	1222
148	213	1218
149	214	1214
150	215	1208
151	215	1204
152	216	1199
153	217	1194
154	218	1189
155	219	1185
156	219	1180
157	220	1176
158	221	1172
159	222	1167
160	222	1160
161	223	1155
162	224	1150
163	224	1146
164	225	1143
165	226	1139
166	227	1134
167	228	1130
168	228	1125
169	229	1120
170	230	1116
171	230	1111
172	231	1107
173	232	1103
174	233	1099
175	233	1095
176	234	1090
177	235	1086
178	235	1081
179	236	1077
180	237	1073
181	238	1069
182	238	1065
183	239	1061
184	240	1057
185	240	1053
186	241	1049
187	241	1045
188	242	1041
189	243	1037
190	244	1033
191	244	1030
192	245	1026
193	246	1023
194	247	1019
195	247	1015
196	248	1012
197	248	1008
198	249	1005
199	250	1002
200	251	999
201	252	997
202	253	994
203	253	990
204	254	987
205	255	983
206	256	980
207	256	978
208	257	974
209	258	971
210	258	968
211	259	964
212	260	961
213	261	958
214	261	955
215	262	952
216	263	949
217	263	946
218	264	943
219	265	940
220	266	937
221	266	934
222	267	931
223	268	928
224	268	926
225	269	923
226	270	920
227	271	917
228	271	915
229	272	912
230	273	909
231	273	906
232	274	904
233	275	901
234	276	899
235	276	896
236	277	893
237	278	890
238	278	888
239	279	885
240	280	883
241	281	881
242	281	878
243	282	875
244	283	873
245	283	870
246	284	867
247	285	864
248	285	862
249	287	861
250	287	858
251	288	856
252	289	853
253	289	850
254	290	848
255	290	845
256	291	843
257	292	840
258	292	838
259	293	835
260	294	833
261	294	830
262	295	828
263	296	825
264	296	823
265	297	820
266	298	818
267	299	816
268	299	814
269	300	812
270	301	809
271	301	807
272	302	805
273	303	803
274	303	800
275	304	798
